palavra,tf,dicts,corpus,title,dmap
abordou,151238,0.99,0.1863,0.004,bcdfhij
aborrece,44264,0.999,0.8137,0,bcdfhijm
aborrecer,36645,1,0.0376,0,abcdfghijklmnoqrst
aborrecida,42794,0.9089,0.0658,0,bcdhij
aborrecido,68658,1,0.2922,0,abcdhijklmoqrst
aborrecimento,45534,1,0.1126,0,abcdhijklmnoqrst
aborrecimentos,38942,0.9089,0.0376,0,bcdhij
abortamento,20418,1,0.1126,0,acdhjklmoqrst
abortar,74896,1,0.2922,0.0042,abcdfghijklmoqrst
aborto,846654,1,0.4268,0,abcdfghijkmoqrst
abortos,91810,0.9999,0.1863,0.0042,bcdfghijk
abr,752535,0.99,0.0658,0,cdghjkr
abra,886112,1,0.9994,0.3251,bcdfhijlmoqst
abrace,50529,0.9089,0.0066,0,bcdfhj
abracei,59827,0.9089,0.0037,0.0055,bcdfhj
abram,84277,0.99,0.1863,0,bcdfhij
abrandamento,24186,1,0.1126,0,abcdhijklmoqst
abrandar,38137,1,0.1126,0,abcdfhijklmnoqrst
abrange,442351,0.999,0.9624,0.0038,bcdfhijm
abrangem,99664,0.99,0.1863,0,bcdfhij
abrangendo,177640,0.999,0.1126,0,bcdhijmq
abrangente,393310,1,0.4268,0,abcdghijkmoqrst
abrangentes,82528,0.9089,0.0658,0.0045,bcdhij
abranger,111846,1,0.4268,0,abcdfghijklmoqrst
abrangia,20364,0.99,0.0212,0,bcdfhij
abrangida,22548,0.99,0.0119,0,bcdfhij
abrangidas,41953,0.9089,0.0212,0,bcdhij
abrangido,27540,1,0.0376,0,abcdfhijqt
abrangidos,82786,0.9089,0.0376,0,bcdhij
abrangência,296259,1,0.8874,0.008,abcdghijkmoqrst
abrasivo,20197,1,0.0376,0,abcdfghijkmnoqrst
abrasivos,31099,0.99,0.0066,0,bcdfhij
abrasão,41383,1,0.1863,0.0083,abcdfhijklmnoqrst
abrazô,45365,1,0.002,0,cdfghijkmoqt
abraça,240243,0.9999,0.9989,0,bcdfghijq
abraçada,53839,1,0.8137,0.0038,bcdfhijlmq
abraçadeira,25041,1,0.0119,0.01,abcdhijklmoqrst
abraçado,76173,1,0.7078,0.0022,abcdfhijmnqt
abraçados,53487,0.99,0.2922,0.004,bcdfhij
abraçam,61944,0.99,0.5732,0.0055,bcdfhij
abraçamos,27438,0.99,0.2922,0.0027,bcdfhij
abraçando,116923,0.99,0.7078,0.0026,bcdfhij
abraçar,468330,1,0.9934,0.0034,abcdfghijklmoqrst
abraçaram,44127,0.99,0.1863,0,bcdfhij
abraçava,31797,0.99,0.1863,0.0027,bcdfhij
abraço,3124182,1,0.9963,0.0014,abcdfghijklmopqrst
abraços,2019748,1,0.1126,0.3333,bcdfghijkq
abraçou,174083,0.99,0.7078,0.0055,bcdfhij
abração,308091,0.9999,0.0006,0.1184,bcdfghijk
abre,3684311,1,0.9994,0.1944,bcdfghijmop
abrem,452249,0.999,0.1863,0,bcdfhijp
abreu,885788,1,0.9881,0.6505,abcdfghijklmoqs
abreviada,28933,0.999,0.1863,0,bcdfhijo
abreviado,34587,1,0.1126,0,bcdfhijklmnoqrst
abreviar,25505,1,0.1863,0,abcdfhijklmoqrst
abreviatura,39368,1,0.2922,0.0045,abcdghijklmoqrst
abreviaturas,24348,0.9089,0.1126,0,bcdhij
abreviação,67513,1,0.1126,0,abcdghijklmoqrst
abreviações,23216,0.99,0.0658,0.0044,bcdhjmq
abri,398173,0.99,0.1863,0.0021,bcdfhij
abria,142389,0.99,0.2922,0.0038,bcdfhij
abriam,37150,0.99,0.1126,0,bcdfhij
abridor,58334,1,0.1863,0.008,abcdfhijklmnoqrs
abriga,323483,1,0.9934,0,bcdfhijlmpq
abrigada,20191,1,0.1863,0,bcdfhijlmoqst
abrigado,35138,1,0.0658,0,abcdfhijmnqst
abrigados,27746,0.99,0.0212,0,bcdfhij
abrigam,61637,0.99,0.1126,0.0041,bcdfhij
abrigando,29278,0.99,0.0212,0,bcdfhij
abrigar,243093,1,0.4268,0.0029,abcdfghijklmoqrst
abrigara,26412,0.99,0.4268,0.0021,bcdfhij
abrigava,35426,0.99,0.0658,0,bcdfhij
abrigo,615726,1,0.4268,0,abcdfghijklmoqrst
abrigos,131318,1,0.1863,0.005,bcdfghijkq
abrigou,44058,0.99,0.1126,0.0042,bcdfhij
abril,13472313,1,0.9989,0.2778,abcdfghijklmopqrst
abrilhantar,23088,1,0.0376,0.004,abcdhijklmnoqrst
abrimos,124349,0.99,0.1126,0.0064,bcdfhij
abrindo,763788,0.99,0.4268,0.012,bcdfhij
abrir,3831851,1,0.2922,0,abcdfghijklmnopqrst
abriram,253945,0.99,0.2922,0.0037,bcdfhij
abrirem,71897,0.99,0.0658,0.004,bcdfhij
abriria,50371,0.99,0.0376,0.0042,bcdfhij
abrirmos,30023,0.99,0.0212,0,bcdfhij
abrirá,193276,0.99,0.9788,0,bcdfhij
abrirão,34622,0.99,0.0066,0.0044,bcdfhij
abrisse,50934,0.99,0.0212,0.0041,bcdfhij
abriu,1461506,0.999,0.2922,0,bcdfhijm
abro,207429,1,0.1126,0,bcdfhijlmoq
abrupta,49739,0.99,0.1863,0.0041,bcdfhij
abruptamente,48381,1,0.2922,0,abcdhijlmqrs
abrupto,32827,1,0.1863,0.0047,abcdfghijklmoqrst
abs,801872,0.01,0.8137,0,dhk
abscesso,21381,1,0.0212,0,abcdfghijklmoqrst
absenteísmo,26127,1,0.2922,0.0123,acdghijkmoqrst
absinto,33781,1,0.0212,0.0056,abcdfghijklmoqrst
absoluta,1010871,1,0.4268,0,bcdfhijkmo
absolutamente,1239606,1,0.4268,0,abcdhijklmoqrst
absolutas,85959,0.99,0.2922,0,bcdfhij
absolutismo,44016,1,0.1863,0.0049,abcdhijklmnoqrst
absolutista,29565,1,0.2922,0.0044,acdghijklmoqrs
absoluto,693032,1,0.5732,0,abcdfghijklmoqrst
absolutos,117617,0.99,0.1126,0,bcdfhij
absolve,24471,0.99,0.7078,0.0045,bcdfhij
absolver,25957,1,0.1126,0,abcdfghijklmnoqrst
absolveu,20590,0.5,0.0119,0,cdfhj
absolvido,67002,1,0.1126,0,abcdfhijkmqt
absolvidos,22251,0.9089,0.0212,0,bcdhij
absolvição,97829,1,0.2922,0,abcdghijklmnoqrst
absorto,20790,1,0.0658,0.0042,abcdfghijklmoqrst
absorva,22970,0.99,0.0658,0.0043,bcdfhij
absorve,150511,0.99,0.998,0.0044,bcdfhij
absorvem,60318,0.99,0.0658,0,bcdfhij
absorvendo,50853,0.9089,0.1863,0,bcdhij
absorvente,85128,1,0.4268,0,abcdhijklmnoqrst
absorventes,44026,0.9089,0.1863,0.005,bcdhij
absorver,267043,1,0.4268,0,abcdfghijklmoqrst
absorveu,31764,0.99,0.0658,0,bcdfhij
absorvida,97172,0.99,0.1863,0,bcdfhij
absorvidas,36655,0.9089,0.0658,0,bcdhij
absorvido,119964,1,0.1863,0,abcdfhijkmnoqrt
absorvidos,63517,0.9089,0.0658,0,bcdhij
absorção,505653,1,0.5732,0,abcdfghijkmoqrst
abstenção,98072,1,0.1863,0,abcdfghijklmoqrst
abstenções,33361,0.5,0.0119,0,bcdhj
abster,72114,1,0.1863,0,abcdfghijklmnoqrs
abstinência,136145,1,0.998,0.0083,abcdghijklmoqrst
abstract,32864,0.0911,0.0119,0,adho
abstrair,30367,1,0.1863,0.004,abcdfghijklmnoqrst
abstrata,122994,0.999,0.1863,0,bcdfhijm
abstratas,59271,0.99,0.2922,0,bcdfhij
abstrato,192742,1,0.1863,0,abcdfghijkmoqrst
abstratos,64276,0.99,0.0658,0,bcdfhij
abstração,112918,1,0.2922,0,abcdfghijkmoqrst
abstrações,27673,0.5,0.0376,0,bcdhj
absurda,303609,0.999,0.2922,0.0038,bcdfhijr
absurdamente,129736,0.9999,0.1126,0,acjlmqrst
absurdas,142363,0.99,0.4268,0,bcdfhij
absurdo,932305,1,0.5732,0.0059,abcdfghijklmoqrst
absurdos,194705,0.99,0.1126,0,bcdfhij
abundam,38891,0.99,0.0376,0.0042,bcdfhij
abundante,256235,1,0.5732,0,abcdfhijklmoqrst
abundantemente,59255,1,0.1126,0,acdghijklmnqrst
abundantes,129297,0.9089,0.1126,0,bcdhij
abundância,428394,1,0.9998,0.0028,abcdghijklmnoqrst
abusa,81149,0.999,0.9624,0.0022,bcdfhijm
abusada,56598,0.99,0.0212,0.0048,bcdfhij
abusado,54304,1,0.1863,0.0044,bcdfhijkmoqt
abusam,47949,0.99,0.0376,0,bcdfhij
abusando,61681,0.99,0.0376,0,bcdfhij
abusar,201364,1,0.5732,0,abcdfghijklmoqrst
abuse,82158,0.99,0.0376,0,bcdfhij
abusiva,96385,0.99,0.1863,0.0042,bcdfhij
abusivas,55561,0.99,0.0119,0,bcdfhij
abusivo,114083,1,0.1863,0.0041,abcdfghijklmnoqrst
abusivos,64919,0.99,0.0658,0,bcdfhij
abuso,818811,1,0.4268,0.002,abcdfhijklmnoqrst
abusos,337464,0.9999,0.1126,0,bcdfghijk
abusou,44821,0.99,0.1126,0,bcdfhij
abutres,45478,0.999,0.0658,0.0048,bcdfghij
abóbada,43111,1,0.9994,0.0042,abcdfghijklmnoqrst
abóbora,303011,1,0.9999,0.0098,abcdfghijklmoqrst
abóboras,40647,0.999,0.4268,0.0021,bcdfghij
ac,1188708,0.9999,1,0.3142,bcdghjkos
aca,37211,1,1,0.1859,acdfghijklmoqst
acaba,3725513,1,1,0.0529,bcdfghijkm
acabada,101106,0.99,0.4268,0.0047,bcdfhij
acabadas,31442,0.99,0.1863,0,bcdfhij
acabado,602149,1,0.2922,0.0028,abcdfghijklmnoqrst
acabados,79009,0.99,0.1863,0,bcdfhij
acabam,1179243,0.999,0.1863,0,bcdfhijp
acabamento,999817,1,0.4268,0,abcdhijklmoqrst
acabamentos,253346,0.99,0.1126,0.0116,bcdhijm
acabamos,357295,0.99,0.1126,0.0047,bcdfhij
acabando,409342,0.99,0.1126,0,bcdfhij
acabar,2453244,1,0.5732,0,abcdfghijklmoqrst
acabara,271207,0.99,0.9997,0.0062,bcdfhij
acabaram,632809,0.999,0.4268,0,bcdfhijm
acabarem,51345,0.99,0.0376,0,bcdfhij
acabaria,148472,0.99,0.1126,0,bcdfhij
acabariam,29351,0.99,0.0212,0,bcdfhij
acabarão,37684,0.99,0.0658,0,bcdfhij
acabasse,69965,0.99,0.0658,0,bcdfhij
acabava,182919,0.99,0.1126,0.0041,bcdfhij
acabavam,59232,0.99,0.0658,0,bcdfhij
acabe,292316,0.99,0.1126,0.0024,bcdfhij
acabei,1249653,0.99,0.0658,0,bcdfhij
acabem,66085,0.99,0.1126,0,bcdfhij
acabo,384217,0.999,0.1126,0.0021,bcdfhijm
acabou,3671514,0.999,0.4268,0,bcdfhijm
academia,2404468,1,1,0.241,abcdfghijklmnoqrst
academias,223623,0.99,0.9788,0,bcdfhij
acadêmica,512394,0.999,0.1863,0,bcdfhjqr
acadêmicas,162795,0.5,0.1863,0,bcdhj
acadêmico,615348,1,1,0.0029,abcdfghijklmnoqrst
acadêmicos,433241,0.5,0.1863,0,bcdhj
acalma,144156,0.99,0.9963,0.0021,bcdfhij
acalmando,21524,0.99,0.0212,0,bcdfhij
acalmar,255855,1,0.4268,0.0018,abcdfghijklmnoqrst
acalme,36656,0.99,0.0037,0,bcdfhij
acalmou,40525,0.99,0.0119,0.0041,bcdfhij
acampados,33634,0.99,0.0212,0,bcdfhij
acampamento,484106,1,0.4268,0.0333,abcdghijklmnoqrst
acampamentos,82464,0.999,0.2922,0,bcdghijr
acampar,78771,1,0.1863,0.0048,abcdfghijklmoqrst
acanhado,20760,1,0.0658,0,abcdfhijklmnoqrst
acarajé,44388,1,0.0658,0.0053,acdfhjklmoqst
acari,62104,1,0.4268,0.0108,acdfghijklmoqs
acaricia,44742,0.99,0.9881,0.0043,bcdfhij
acariciando,55524,0.9089,0.0037,0.0047,bcdhij
acariciar,56177,1,0.0212,0,abcdfhijklmnoqrst
acariciava,21073,0.9089,0.0066,0,bcdhij
acarreta,140922,0.99,0.4268,0,bcdfhij
acarretam,30932,0.99,0.0066,0,bcdfhij
acarretando,52801,0.9089,0.0658,0.0044,bcdhij
acarretar,121520,1,0.2922,0,abcdfhijklmnoqrst
acarretara,50124,0.9089,0.8137,0,bcdhij
acarretou,31788,0.99,0.1126,0,bcdfhij
acasalamento,54609,1,0.1863,0,abcdhijkmoqrs
acasalar,20561,1,0.0658,0,abcdfghijklmoqrst
acaso,1526399,1,0.5732,0,abcdfghijklmoqrst
acasos,26674,0.99,0.0658,0,bcdfhij
acata,22704,0.999,0.8874,0.0021,bcdfhijm
acatar,55525,1,0.1863,0,abcdfghijklmnoqrst
acatou,41464,0.99,0.0376,0,bcdfhij
accionista,23771,0.9089,0.002,0,dhlqrs
ace,40738,0.0911,0.2922,0.064,dhor
aceda,52188,0.5,0.0066,0,cdfhj
acede,24570,0.5,0.1126,0,cdfhj
aceder,293211,1,0.2922,0,acdfhjklmoqrst
aceita,1572292,0.9999,0.9994,0,bcdfhijmq
aceitabilidade,22476,1,0.0119,0,acdhjklmoqrst
aceitado,69074,0.9999,0.0658,0,bcdfhijqr
aceitam,446284,0.99,0.2922,0.0037,bcdfhij
aceitamos,176380,0.99,0.0376,0,bcdfhij
aceitando,231598,0.99,0.1126,0,bcdfhij
aceitar,1878704,1,0.2922,0.0098,abcdfghijklmnoqrst
aceitara,55017,0.99,0.9788,0.0021,bcdfhij
aceitaram,151826,0.99,0.1126,0,bcdfhij
aceitarem,73501,0.99,0.0376,0,bcdfhij
aceitaria,83912,0.99,0.0658,0,bcdfhij
aceitarmos,35355,0.9089,0.0212,0,bcdhij
aceitas,221225,0.99,0.1863,0.0043,bcdfhij
aceitasse,41622,0.99,0.0658,0,bcdfhij
aceitava,91687,0.99,0.0658,0,bcdfhij
aceitavam,37721,0.999,0.0376,0,bcdfhijm
aceitação,1004081,1,0.5732,0.002,abcdfghijklmoqrst
aceite,397271,1,0.4268,0,abcdfghijklmnoqrs
aceitei,159048,0.99,0.0376,0.0068,bcdfhij
aceitem,75053,0.99,0.1126,0.0047,bcdfhij
aceites,136607,0.99,0.0212,0.004,bcdfhij
aceito,880375,1,0.4268,0,abcdfghijklmnoqrst
aceitos,303434,0.99,0.0658,0.0029,bcdfhij
aceitou,535864,0.99,0.2922,0.0027,bcdfhij
aceitáveis,94149,0.5,0.1126,0,bcdhj
aceitável,341971,1,0.9989,0.0022,abcdfghijklmoqrst
acelera,206398,0.9999,0.9934,0.0055,bcdfhijqs
acelerada,126488,0.99,0.1863,0,bcdfhij
aceleradas,24451,0.9089,0.1126,0,bcdhij
acelerado,267842,1,0.4268,0,abcdfhijklmnoqrst
acelerador,136170,1,0.1126,0,abcdhijklmoqrst
acelerados,27090,0.9089,0.0658,0,bcdhij
aceleram,42363,0.99,0.1126,0,bcdfhij
acelerando,79208,1,0.0658,0,bcdhijmoqr
acelerar,416952,1,0.2922,0,abcdfghijklmnoqrst
aceleração,310948,1,0.4268,0,abcdghijklmnoqrst
acelere,46429,0.99,0.0119,0.0069,bcdfhij
acelerou,65483,0.99,0.1126,0,bcdfhij
acena,43697,1,0.8874,0.0022,bcdfhijlmq
acenando,35987,0.99,0.0376,0,bcdfhij
acenar,29200,1,0.1863,0,abcdfghijklmoqrst
acenda,43302,0.99,0.0119,0,bcdfhij
acende,153143,0.9999,0.9934,0,bcdfghijp
acendem,40286,0.99,0.1126,0.0043,bcdfhij
acendendo,32117,0.99,0.0376,0,bcdfhij
acender,218713,1,0.5732,0.0047,abcdfghijklmoqrst
acendeu,90551,0.99,0.2922,0.0048,bcdfhij
acendimento,21484,1,0.0376,0,acdhjklmoqrst
aceno,44354,1,0.1126,0,abcdfhijklmnoqrst
acenou,40387,0.99,0.0212,0,bcdfhij
acento,149844,1,0.2922,0,abcdfghijklmnoqrst
acentos,80791,0.99,0.1126,0.0051,bcdfhij
acentua,79425,0.99,0.8874,0.0023,bcdfhij
acentuada,192949,0.99,0.2922,0,bcdfhij
acentuadamente,25555,0.5,0.0658,0,acjrs
acentuadas,51132,0.9089,0.1126,0,bcdhij
acentuado,132711,1,0.2922,0,abcdfhijkmnoqrst
acentuados,33155,0.0911,0.1126,0,cdhj
acentuam,24458,0.99,0.0658,0,bcdfhij
acentuando,31352,0.9089,0.0212,0,bcdhij
acentuar,70102,1,0.1126,0,abcdfghijklmnoqrst
acentuação,60718,1,0.2922,0,abcdghijklmoqrst
acentuou,38457,0.99,0.0376,0,bcdfhij
acepção,103432,1,0.1863,0.004,abcdfghijklmoqrst
acerca,1659398,1,0.9989,0,abcdfhijlmoqs
acerola,43664,1,0.0212,0.0052,abcdfghijmoqrt
acerta,234439,0.999,0.998,0,bcdfghij
acertada,110965,0.9999,0.1126,0,bcdfhijmo
acertadamente,24301,0.999,0.0212,0,acjlmqrt
acertadas,39394,0.99,0.0376,0,bcdfhij
acertado,153745,1,0.2922,0,bcdfhijkmnoqrt
acertados,24695,0.99,0.0119,0,bcdfhij
acertam,39206,0.99,0.0376,0.0041,bcdfhij
acertamos,25036,0.99,0.0119,0,bcdfhij
acertando,87273,0.99,0.0658,0,bcdfhij
acertar,590931,1,0.4268,0.0028,abcdfghijklmoqrst
acertaram,71231,0.99,0.0658,0,bcdfhij
acerte,60380,0.99,0.0119,0,bcdfhij
acertei,95990,0.99,0.0376,0.006,bcdfhij
acerto,310940,1,0.9624,0,abcdfhijklmoqrst
acertos,249626,0.999,0.0658,0.004,cdfghijk
acertou,377855,0.99,0.1863,0.0034,bcdfhij
acervo,674215,1,0.4268,0,abcdfhijklmnoqst
acervos,93367,0.9999,0.0037,0.0052,bcdfghijk
acesa,177397,0.99,0.1863,0,bcdfhij
acesas,78403,0.99,0.1126,0,bcdfhij
aceso,91273,1,0.2922,0,abcdfghijklmnoqrst
acesos,27228,0.99,0.1126,0,bcdfhij
acessa,464222,0.99,0.9881,0,bcdfhij
acessada,122238,0.99,0.0212,0,bcdfhij
acessadas,100509,0.99,0.0066,0,bcdfhij
acessado,1170769,0.99,0.0658,0,bcdfhij
acessados,163139,0.99,0.0658,0,bcdfhij
acessam,83350,0.99,0.0212,0.0041,bcdfhij
acessando,162771,0.99,0.0212,0,bcdfhij
acessar,1852863,1,0.1863,0.0247,bcdfhijmoqrs
acessarem,21855,0.99,0.0066,0,bcdfhij
acesse,787399,0.99,0.0066,0,bcdfhij
acessei,25916,0.99,0.0037,0.0046,bcdfhij
acessem,117073,0.99,0.0212,0.0103,bcdfhij
acessibilidade,451838,1,0.4268,0,acdhjklmoqrst
acessibilidades,23378,0.001,0.0003,0,cj
acesso,9692209,1,0.5732,0,abcdfhijklmoqrst
acessos,1252938,0.9999,0.4268,0.2958,bcdfghijk
acessou,33877,0.99,0.0066,0.0049,bcdfhij
acessíveis,430717,0.5,0.1126,0,bcdhj
acessível,915485,1,0.9998,0.0117,abcdfghijklmnoqrst
acessória,35105,0.99,0.0212,0,bcdfhjr
acessórias,50182,0.5,0.0376,0,bcdhj
acessório,479569,1,0.9989,0.0191,abcdfghijklmoqrst
acessórios,1814832,0.5,0.4268,0.0027,bcdhj
acetato,88657,1,0.1863,0.0073,abcdfghijklmoqrs
acetinado,28387,1,0.0376,0,bcdfhijkmoqt
acetona,50437,1,0.1863,0.0045,abcdfhijklmoqrs
acha,3457764,1,0.9997,0.0508,abcdfhijklmopqst
achada,36373,1,0.1126,0,bcdfhijlmoqst
achado,350685,1,0.4268,0,abcdfghijklmoqrst
achados,308563,0.99,0.1863,0.0149,bcdfhij
acham,1444697,0.99,0.4268,0,bcdfhij
achamos,473230,0.99,0.1126,0.0108,bcdfhij
achando,824180,0.99,0.1863,0.0033,bcdfhij
achar,2737013,1,0.4268,0,abcdfghijklmopqrst
achara,63607,0.99,0.8137,0,bcdfhij
acharam,513925,0.99,0.1863,0.003,bcdfhij
